run,learning_rate,gamma,batch_size,buffer_size,exploration_final_eps,exploration_fraction,target_update_interval,tau,train_freq,mean_reward,fairness_score,train_time_s
1,0.001,0.99,64,50000,0.05,0.2,500,1.0,4,256.15,0.85,197.1
2,0.0005,0.99,64,50000,0.05,0.2,500,1.0,4,245.95,0.872,282.9
3,0.0001,0.99,64,50000,0.05,0.3,500,1.0,4,159.75,0.839,322.1
4,0.001,0.999,64,50000,0.05,0.2,500,1.0,4,247.15,0.89,318.5
5,0.001,0.9,64,50000,0.1,0.2,500,1.0,4,254.05,0.871,315.5
6,0.001,0.99,128,100000,0.05,0.15,1000,1.0,4,244.5,0.87,290.6
7,0.0005,0.99,32,50000,0.05,0.2,1000,1.0,4,278.1,0.894,100.7
8,0.001,0.99,64,50000,0.05,0.2,1,0.005,4,277.75,0.899,166.2
9,0.001,0.99,64,50000,0.2,0.4,500,1.0,4,309.65,0.922,93.7
10,0.0005,0.99,64,80000,0.05,0.2,250,1.0,1,258.1,0.903,268.9
