run,learning_rate,n_steps,batch_size,n_epochs,gamma,gae_lambda,clip_range,ent_coef,mean_reward,fairness_score,train_time_s
1,0.0003,2048,64,10,0.99,0.95,0.2,0.0,247.1,0.878,491.9
2,0.0003,2048,64,10,0.99,0.95,0.2,0.01,294.0,0.877,581.5
3,0.0003,2048,64,10,0.99,0.95,0.2,0.05,298.5,0.893,590.7
4,0.0003,2048,64,10,0.99,0.95,0.3,0.0,254.95,0.884,592.9
5,0.0003,2048,64,10,0.99,0.95,0.1,0.0,303.8,0.913,595.8
6,0.0003,512,64,10,0.99,0.95,0.2,0.01,262.8,0.912,617.9
7,0.0003,4096,128,10,0.99,0.95,0.2,0.0,282.1,0.912,390.2
8,0.001,2048,64,10,0.99,0.95,0.2,0.0,279.0,0.872,431.2
9,0.0001,2048,64,10,0.99,0.95,0.2,0.005,185.9,0.877,392.9
10,0.0003,2048,64,10,0.9,0.9,0.2,0.01,271.2,0.907,389.6
